num,command,hit-level,damage,startup,blocked,hit,counter,note
65,7/8/9LK 8,"중(,중)","11(,23)",17,-13,시동,시동,-
66,7/8/9RK,상,20,19,-3,다운,다운,"호밍, 스크류"
67,74,-,-,-,-,-,-,-
68,7/8/9.,-,-,-,-,-,-,-
69,공중 LP,중,7,9,-23,-16,-16,-
70,공중 RP,중,14,10,-22,-15,-15,-
71,공중 RP RP,중중,"14,14",-,-,-,-,-
72,공중 RP RP RP,중중중,"14,14,23",-,-,-,-,스크류
73,공중 LK,중,10,10,-22,-15,-15,-
74,공중 RK,중 ,12,12,-21,-14,-14,-
75,공중 AP,중,27,41,9,다운,다운,-
76,66RK,중,"15(,14,21)",19,-14,잡기,잡기,-
77,66AP,중,20,15,-9,10,다운,"호밍기, 스크류"
78,66AK,상,50,30,-8,다운,다운,-
79,666AP,중,25,23,11,시동,시동,-
80,2_LP,특중,5,10,-5,6,6,-
81,2_LP,특중,8,11,-9,5,5,-
82,2_LK,하,12,16,-17,-3,-3,-
83,2_RK,하,10,12,-15,-4,-4,-
84,기상 LP,중,10,13,-8,6,6,-
85,기상 LP RP,중중,"10,23",13,-13,2,다운,-
86,기상 RP,중,15,15,-9,-3,-3,-
87,기상 RP RP,중중,"13,23",15,-14,5,스크류,스크류
88,기상 LK,중,12,14,-7,9,9,-
89,기상 LK RP,중중,"12,5(,20)",14,-11,잡기,잡기,-
90,기상RK,중,15,11,-6,5,5,-
91,2_3LP,중,25,16,-9,다운,다운,-
92,2_3RP,하,17,20,-13,4,13,호밍
93,AP+AK,-,-,-,-,-,-,-
94,LP+AK,-,-,-,-,-,-,-
95,횡RP,중,21,18,0,5,다운,-
96,뒤LP,상,15,8,-8,3,3,-
97,뒤RP,중,16,20,-9,다운,다운,-
98,뒤LK/RK,상,25,10,-8,다운,다운,-
99,뒤2LP/RP,특중,10,10,-2,9,9,-
100,뒤2LK/RK,하,12,10,-11,3,3,-
101,6AK,-,-,-,-,-,-,-
102,6AK_LP,중,24,18,-13,다운,다운,"파워크러시,월바운드"
103,6AK AK,하,17,2,-20,다운,다운,-
